customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Country,Region,ProfitabilityScore,CPI,CLV
7590-Vhveg,Female,0,Yes,No,1,No,No Phone Service,Dsl,No,Yes,No,No,No,No,Month-To-Month,Yes,Electronic Check,29.85,29.85,No,Singapore,Asia,8.2,0.08199999999999999,35.82
5575-Gnvde,Male,0,No,No,34,Yes,No,Dsl,Yes,No,Yes,No,No,No,One Year,No,Mailed Check,56.95,1889.5,No,Canada,North America,39.8,0.39799999999999996,2323.56
3668-Qpybk,Male,0,No,No,2,Yes,No,Dsl,Yes,Yes,No,No,No,No,Month-To-Month,Yes,Mailed Check,53.85,108.15,Yes,UK,Europe,15.09,0.07545,86.16000000000001
7795-Cfocw,Male,0,No,No,45,No,No Phone Service,Dsl,Yes,No,Yes,Yes,No,No,One Year,No,Bank Transfer (Automatic),42.3,1840.75,No,Canada,North America,42.04,0.4204,2284.2
9237-Hqitu,Female,0,No,No,2,Yes,No,Fiber Optic,No,No,No,No,No,No,Month-To-Month,Yes,Electronic Check,70.7,151.65,Yes,Canada,North America,19.5,0.0975,113.12
9305-Cdskc,Female,0,No,No,8,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Month-To-Month,Yes,Electronic Check,99.65,820.5,Yes,USA,North America,32.45,0.16225,637.7600000000001
1452-Kiovk,Male,0,No,Yes,22,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,No,Month-To-Month,Yes,Credit Card (Automatic),89.1,1949.4,No,UK,Europe,41.47,0.4147,2352.24
6713-Okomc,Female,0,No,No,10,No,No Phone Service,Dsl,Yes,No,No,No,No,No,Month-To-Month,No,Mailed Check,29.75,301.9,No,UK,Europe,14.11,0.1411,357.0
7892-Pookp,Female,0,Yes,No,28,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Month-To-Month,Yes,Electronic Check,104.8,3046.05,Yes,UK,Europe,52.55,0.26275,2347.52
6388-Tabgu,Male,0,No,Yes,62,Yes,No,Dsl,Yes,Yes,No,No,No,No,One Year,No,Bank Transfer (Automatic),56.15,3487.95,No,Canada,North America,60.68,0.6068,4177.5599999999995
9763-Grskd,Male,0,Yes,Yes,13,Yes,No,Dsl,Yes,No,No,No,No,No,Month-To-Month,Yes,Mailed Check,49.95,587.45,No,Singapore,Asia,21.87,0.2187,779.22
7469-Lkbci,Male,0,No,No,16,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Credit Card (Automatic),18.95,326.8,No,UK,Europe,14.81,0.1481,363.84
8091-Ttvax,Male,0,Yes,No,58,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,One Year,No,Credit Card (Automatic),100.35,5681.1,No,Australia,Oceania,77.2,0.772,6984.359999999999
0280-Xjgex,Male,0,No,No,49,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Month-To-Month,Yes,Bank Transfer (Automatic),103.7,5036.3,Yes,Canada,North America,70.82,0.35409999999999997,4065.0400000000004
5129-Jlpis,Male,0,No,No,25,Yes,No,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Month-To-Month,Yes,Electronic Check,105.5,2686.05,No,USA,North America,49.82,0.4982,3165.0
3655-Snqyz,Female,0,Yes,Yes,69,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card (Automatic),113.25,7895.15,No,Singapore,Asia,94.22,0.9422,9377.1
8191-Xwszg,Female,0,No,No,52,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,No,Mailed Check,20.65,1022.95,No,Australia,Oceania,37.64,0.3764,1288.56
9959-Wofkt,Male,0,No,Yes,71,Yes,Yes,Fiber Optic,Yes,No,Yes,No,Yes,Yes,Two Year,No,Bank Transfer (Automatic),106.7,7382.25,No,Australia,Oceania,91.9,0.919,9090.84
4190-Mfluw,Female,0,Yes,Yes,10,Yes,No,Dsl,No,No,Yes,Yes,No,No,Month-To-Month,No,Credit Card (Automatic),55.2,528.35,Yes,USA,North America,21.33,0.10665,441.6
4183-Myfrb,Female,0,No,No,21,Yes,No,Fiber Optic,No,Yes,Yes,No,No,Yes,Month-To-Month,Yes,Electronic Check,90.05,1862.9,No,Singapore,Asia,40.85,0.40850000000000003,2269.2599999999998
8779-Qrdmv,Male,1,No,No,1,No,No Phone Service,Dsl,No,No,Yes,No,No,Yes,Month-To-Month,Yes,Electronic Check,39.65,39.65,Yes,Canada,North America,10.71,0.05355000000000001,31.72
1680-Vdcww,Male,0,Yes,No,12,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,No,Bank Transfer (Automatic),19.8,202.25,No,India,Asia,12.37,0.12369999999999999,285.12
1066-Jksgk,Male,0,No,No,1,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-To-Month,No,Mailed Check,20.15,20.15,Yes,Singapore,Asia,5.72,0.0286,16.12
3638-Weabw,Female,0,Yes,No,58,Yes,Yes,Dsl,No,Yes,No,Yes,No,No,Two Year,Yes,Credit Card (Automatic),59.9,3505.1,No,USA,North America,59.46,0.5946,4169.04
6322-Hrpfa,Male,0,Yes,Yes,49,Yes,No,Dsl,Yes,Yes,No,Yes,No,No,Month-To-Month,No,Credit Card (Automatic),59.6,2970.3,No,Australia,Oceania,52.54,0.5254,3504.48
6865-Jznko,Female,0,No,No,30,Yes,No,Dsl,Yes,Yes,No,No,No,No,Month-To-Month,Yes,Bank Transfer (Automatic),55.3,1530.6,No,Canada,North America,35.92,0.3592,1990.8
6467-Chfzw,Male,0,Yes,Yes,47,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Month-To-Month,Yes,Electronic Check,99.35,4749.15,Yes,Singapore,Asia,67.62,0.3381,3735.56
8665-Utdhz,Male,0,Yes,Yes,1,No,No Phone Service,Dsl,No,Yes,No,No,No,No,Month-To-Month,No,Electronic Check,30.2,30.2,Yes,India,Asia,8.29,0.041449999999999994,24.16
5248-Ygijn,Male,0,Yes,No,72,Yes,Yes,Dsl,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card (Automatic),90.25,6369.45,No,India,Asia,84.8,0.848,7797.599999999999
8773-Hhuoz,Female,0,No,Yes,17,Yes,No,Dsl,No,No,No,No,Yes,Yes,Month-To-Month,Yes,Mailed Check,64.7,1093.1,Yes,UK,Europe,29.57,0.14785,879.9200000000001
3841-Nfecx,Female,1,Yes,No,71,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,No,No,Two Year,Yes,Credit Card (Automatic),96.35,6766.95,No,UK,Europe,87.16,0.8715999999999999,8209.019999999999
4929-Xihvw,Male,1,Yes,No,2,Yes,No,Fiber Optic,No,No,Yes,No,Yes,Yes,Month-To-Month,Yes,Credit Card (Automatic),95.5,181.65,No,USA,North America,25.86,0.2586,229.2
6827-Ieauq,Female,0,Yes,Yes,27,Yes,No,Dsl,Yes,Yes,Yes,Yes,No,No,One Year,No,Mailed Check,66.15,1874.45,No,Singapore,Asia,38.19,0.38189999999999996,2143.26
7310-Egvhz,Male,0,No,No,1,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-To-Month,No,Bank Transfer (Automatic),20.2,20.2,No,Singapore,Asia,5.73,0.057300000000000004,24.24
3413-Bmnze,Male,1,No,No,1,Yes,No,Dsl,No,No,No,No,No,No,Month-To-Month,No,Bank Transfer (Automatic),45.25,45.25,No,Australia,Oceania,12.14,0.12140000000000001,54.3
6234-Raapl,Female,0,Yes,Yes,72,Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,No,Two Year,No,Bank Transfer (Automatic),99.9,7251.7,No,Australia,Oceania,90.29,0.9029,8631.36
6047-Yhpvi,Male,0,No,No,5,Yes,No,Fiber Optic,No,No,No,No,No,No,Month-To-Month,Yes,Electronic Check,69.7,316.9,Yes,Australia,Oceania,21.48,0.1074,278.8
6572-Adkrs,Female,0,No,No,46,Yes,No,Fiber Optic,No,No,Yes,No,No,No,Month-To-Month,Yes,Credit Card (Automatic),74.8,3548.3,No,UK,Europe,56.71,0.5671,4128.959999999999
5380-Wjkov,Male,0,No,No,34,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Month-To-Month,Yes,Electronic Check,106.35,3549.25,Yes,Singapore,Asia,58.02,0.2901,2892.72
8168-Uqwwf,Female,0,No,No,11,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Month-To-Month,Yes,Bank Transfer (Automatic),97.85,1105.4,Yes,Singapore,Asia,34.65,0.17325,861.0799999999999
8865-Tnmnx,Male,0,Yes,Yes,10,Yes,No,Dsl,No,Yes,No,No,No,No,One Year,No,Mailed Check,49.55,475.7,No,India,Asia,19.72,0.1972,594.6
9489-Dedvp,Female,0,Yes,Yes,70,Yes,Yes,Dsl,Yes,Yes,No,No,Yes,No,Two Year,Yes,Credit Card (Automatic),69.2,4872.35,No,UK,Europe,73.2,0.732,5812.8
9867-Jczsp,Female,0,Yes,Yes,17,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,No,Mailed Check,20.75,418.25,No,Canada,North America,16.13,0.1613,423.3
4671-Vjlcl,Female,0,No,No,63,Yes,Yes,Dsl,Yes,Yes,Yes,Yes,Yes,No,Two Year,Yes,Credit Card (Automatic),79.85,4861.45,No,UK,Europe,71.97,0.7197,6036.659999999999
4080-Iiard,Female,0,Yes,No,13,Yes,Yes,Dsl,Yes,Yes,No,Yes,Yes,No,Month-To-Month,Yes,Electronic Check,76.2,981.45,No,Canada,North America,29.86,0.2986,1188.72
3714-Ntnfo,Female,0,No,No,49,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-To-Month,Yes,Electronic Check,84.5,3906.7,No,India,Asia,62.06,0.6206,4968.599999999999
5948-Ujzlf,Male,0,No,No,2,Yes,No,Dsl,No,Yes,No,No,No,No,Month-To-Month,No,Mailed Check,49.25,97.0,No,USA,North America,13.89,0.1389,118.19999999999999
7760-Oypdy,Female,0,No,No,2,Yes,No,Fiber Optic,No,No,No,No,Yes,No,Month-To-Month,Yes,Electronic Check,80.65,144.15,Yes,Singapore,Asia,21.98,0.1099,129.04000000000002
7639-Liayi,Male,0,No,No,52,Yes,Yes,Dsl,Yes,No,No,Yes,Yes,Yes,Two Year,Yes,Credit Card (Automatic),79.75,4217.8,No,India,Asia,63.61,0.6361,4976.4
2954-Pibko,Female,0,Yes,Yes,69,Yes,Yes,Dsl,Yes,No,Yes,Yes,No,No,Two Year,Yes,Credit Card (Automatic),64.15,4254.1,No,Singapore,Asia,69.23,0.6923,5311.62
8012-Soudq,Female,1,No,No,43,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,No,Month-To-Month,Yes,Electronic Check,90.25,3838.75,No,Australia,Oceania,59.95,0.5995,4656.9
9420-Lojkx,Female,0,No,No,15,Yes,No,Fiber Optic,Yes,Yes,No,No,Yes,Yes,Month-To-Month,Yes,Credit Card (Automatic),99.1,1426.4,Yes,USA,North America,38.3,0.19149999999999998,1189.2
6575-Suvoi,Female,1,Yes,No,25,Yes,Yes,Dsl,Yes,No,No,Yes,Yes,No,Month-To-Month,Yes,Credit Card (Automatic),69.5,1752.65,No,USA,North America,37.5,0.375,2085.0
7495-Ookfy,Female,1,Yes,No,8,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,Month-To-Month,Yes,Credit Card (Automatic),80.65,633.3,Yes,India,Asia,27.01,0.13505,516.1600000000001
4667-Qonea,Female,1,Yes,Yes,60,Yes,No,Dsl,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Credit Card (Automatic),74.85,4456.35,No,USA,North America,67.64,0.6764,5389.2
1658-Bygoy,Male,1,No,No,18,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Month-To-Month,Yes,Electronic Check,95.45,1752.55,Yes,Canada,North America,40.17,0.20085,1374.4800000000002
8769-Kktph,Female,0,Yes,Yes,63,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,Yes,One Year,Yes,Credit Card (Automatic),99.65,6311.2,No,USA,North America,81.98,0.8198000000000001,7533.540000000001
5067-Xjqfu,Male,1,Yes,Yes,66,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Electronic Check,108.45,7076.35,No,Singapore,Asia,88.51,0.8851,8589.24
3957-Sqxml,Female,0,Yes,Yes,34,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Credit Card (Automatic),24.95,894.3,No,Singapore,Asia,28.28,0.2828,1017.9599999999999
5954-Bdfsg,Female,0,No,No,72,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card (Automatic),107.5,7853.7,No,Singapore,Asia,94.29,0.9429000000000001,9288.0
0434-Csfon,Female,0,Yes,No,47,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Month-To-Month,Yes,Electronic Check,100.5,4707.1,No,Singapore,Asia,67.76,0.6776000000000001,5668.2
